2024-08-09 14:39:40,332 INFO    MainThread:17116 [wandb_setup.py:_flush():68] Configure stats pid to 17116
2024-08-09 14:39:40,333 INFO    MainThread:17116 [wandb_setup.py:_flush():68] Loading settings from C:\Users\44797\.config\wandb\settings
2024-08-09 14:39:40,333 INFO    MainThread:17116 [wandb_setup.py:_flush():68] Loading settings from C:\Users\44797\Documents\nano-GPT-S\wandb\settings
2024-08-09 14:39:40,333 INFO    MainThread:17116 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2024-08-09 14:39:40,333 INFO    MainThread:17116 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'transformer.py', 'program': 'c:\\Users\\44797\\Documents\\nano-GPT-S\\transformer.py'}
2024-08-09 14:39:40,333 INFO    MainThread:17116 [wandb_init.py:_log_setup():492] Logging user logs to C:\Users\44797\Documents\nano-GPT-S\wandb\run-20240809_143940-b8r6n7r8\logs\debug.log
2024-08-09 14:39:40,334 INFO    MainThread:17116 [wandb_init.py:_log_setup():493] Logging internal logs to C:\Users\44797\Documents\nano-GPT-S\wandb\run-20240809_143940-b8r6n7r8\logs\debug-internal.log
2024-08-09 14:39:40,334 INFO    MainThread:17116 [wandb_init.py:init():532] calling init triggers
2024-08-09 14:39:40,334 INFO    MainThread:17116 [wandb_init.py:init():538] wandb.init called with sweep_config: {}
config: {'wandb_project': 'base_transformer', 'wandb_name': None}
2024-08-09 14:39:40,334 INFO    MainThread:17116 [wandb_init.py:init():588] starting backend
2024-08-09 14:39:40,334 INFO    MainThread:17116 [wandb_init.py:init():592] setting up manager
2024-08-09 14:39:40,341 INFO    MainThread:17116 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn, using: spawn
2024-08-09 14:39:40,344 INFO    MainThread:17116 [wandb_init.py:init():599] backend started and connected
2024-08-09 14:39:40,345 INFO    MainThread:17116 [wandb_init.py:init():687] updated telemetry
2024-08-09 14:39:40,384 INFO    MainThread:17116 [wandb_init.py:init():727] communicating run to backend with 60.0 second timeout
2024-08-09 14:39:40,826 INFO    MainThread:17116 [wandb_run.py:_on_init():2134] communicating current version
2024-08-09 14:39:40,913 INFO    MainThread:17116 [wandb_run.py:_on_init():2143] got version response upgrade_message: "wandb version 0.17.6 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-08-09 14:39:40,913 INFO    MainThread:17116 [wandb_init.py:init():775] starting run threads in backend
2024-08-09 14:39:41,096 INFO    MainThread:17116 [wandb_run.py:_console_start():2114] atexit reg
2024-08-09 14:39:41,096 INFO    MainThread:17116 [wandb_run.py:_redirect():1969] redirect: 3
2024-08-09 14:39:41,096 INFO    MainThread:17116 [wandb_run.py:_redirect():2034] Wrapping output streams.
2024-08-09 14:39:41,096 INFO    MainThread:17116 [wandb_run.py:_redirect():2059] Redirects installed.
2024-08-09 14:39:41,097 INFO    MainThread:17116 [wandb_init.py:init():817] run started, returning control to user process
2024-08-09 14:45:14,423 INFO    MainThread:17116 [wandb_run.py:_finish():1854] finishing run laurence-1-freeman-university-college-london-ucl-/base_transformer/b8r6n7r8
2024-08-09 14:45:14,423 INFO    MainThread:17116 [wandb_run.py:_atexit_cleanup():2083] got exitcode: 0
2024-08-09 14:45:14,423 INFO    MainThread:17116 [wandb_run.py:_restore():2066] restore
2024-08-09 14:45:14,424 INFO    MainThread:17116 [wandb_run.py:_restore():2072] restore done
2024-08-09 14:45:20,959 INFO    MainThread:17116 [wandb_run.py:_footer_history_summary_info():3442] rendering history
2024-08-09 14:45:20,959 INFO    MainThread:17116 [wandb_run.py:_footer_history_summary_info():3474] rendering summary
2024-08-09 14:45:20,964 INFO    MainThread:17116 [wandb_run.py:_footer_sync_info():3398] logging synced files
